,mon,cust_no,sex,age_flg,state,mem_tf_flg,batch_pass_dt,last_sell_dt,last_pass_dt,pack_flg,sell_amt,sell_cnt,sell_qty,basket_size,beauty_amt,beauty_cnt,beauty_qty,personal_amt,personal_cnt,personal_qty,health_amt,health_cnt,health_qty,living_amt,living_cnt,living_qty,etc1_amt,etc1_cnt,etc1_qty,b_wellnature_amt,b_wellnature_cnt,b_wellnature_qty,b_esroom_amt,b_esroom_cnt,b_esroom_qty,b_arrenbio_amt,b_arrenbio_cnt,b_arrenbio_qty,p_wellmate_amt,p_wellmate_cnt,p_wellmate_qty,p_wellmoplus_amt,p_wellmoplus_cnt,p_wellmoplus_qty,h_wellseed_amt,h_wellseed_cnt,h_wellseed_qty,h_health_amt,h_health_cnt,h_health_qty,h_litefit_amt,h_litefit_cnt,h_litefit_qty,h_wellmoplus_amt,h_wellmoplus_cnt,h_wellmoplus_qty,l_livingmate_amt,l_livingmate_cnt,l_livingmate_qty,l_tissue_amt,l_tissue_cnt,l_tissue_qty,l_dtc_amt,l_dtc_cnt,l_dtc_qty,l_spad_amt,l_spad_cnt,l_spad_qty,e_cprod_amt,e_cprod_cnt,e_cprod_qty,sell_class_1,sell_class_2,main_class_1,main_class_2,main_day,sell_cycle,r_score,f_score,m_score,rfm_score,rfm_grade,cust_grade,target_value
0,202103,c01002  ,2,40대,경기,N,999.0,20210310,22.0,,2281600.0,8,158.0,285200.0,216000.0,2.0,10.0,54000.0,1.0,4.0,1698000.0,6.0,32.0,277600.0,3.0,105.0,36000.0,2.0,7.0,,,,216000.0,1.0,6.0,0.0,2.0,4.0,54000.0,1.0,4.0,,,,737000.0,6.0,25.0,926000.0,3.0,5.0,35000.0,2.0,2.0,,,,72000.0,1.0,2.0,116500.0,2.0,13.0,,,,,,,,,,5,8.0,03,0301,2,21.142857142857142,80,100,100,92.83177667225556,1,1,0
1,202103,c01027  ,1,40대,경기,N,0.0,20210316,16.0,,1122100.0,8,49.0,140262.5,223500.0,3.0,9.0,80000.0,2.0,5.0,510000.0,6.0,16.0,308600.0,3.0,19.0,,,,30000.0,1.0,2.0,158000.0,2.0,4.0,35500.0,1.0,3.0,80000.0,2.0,5.0,,,,384000.0,5.0,12.0,,,,126000.0,4.0,4.0,,,,28800.0,1.0,1.0,17000.0,1.0,1.0,,,,,,,,,,4,8.0,03,0301,1,22.0,80,100,80,86.17738760127533,2,1,0
2,202103,c01029  ,2,40대,경기,N,0.0,20210330,2.0,,1133450.0,8,71.0,141681.25,217600.0,3.0,11.0,47500.0,5.0,6.0,664000.0,7.0,22.0,168700.0,5.0,21.0,35650.0,2.0,11.0,15000.0,1.0,1.0,192000.0,2.0,6.0,10600.0,1.0,4.0,47500.0,5.0,6.0,,,,664000.0,7.0,21.0,,,,0.0,1.0,1.0,,,,50400.0,1.0,1.0,113500.0,4.0,10.0,,,,,,,3850.0,1.0,1.0,5,9.0,03,0301,1,24.0,100,100,80,92.83177667225556,1,1,0
3,202103,c01042  ,1,40대,충북,N,0.0,20210316,16.0,,898000.0,8,30.0,112250.0,274500.0,5.0,14.0,9500.0,1.0,1.0,614000.0,5.0,15.0,,,,,,,,,,169000.0,3.0,5.0,105500.0,4.0,9.0,9500.0,1.0,1.0,,,,419000.0,5.0,13.0,120000.0,1.0,1.0,75000.0,1.0,1.0,,,,,,,,,,,,,,,,,,,3,6.0,03,0301,1,23.333333333333332,80,100,80,86.17738760127533,2,1,0
4,202103,c01091  ,1,30대,충남,N,0.0,20210323,9.0,,1459250.0,8,84.0,182406.25,118000.0,5.0,6.0,55000.0,2.0,2.0,1064000.0,8.0,24.0,207500.0,6.0,44.0,14750.0,2.0,8.0,18000.0,1.0,1.0,100000.0,3.0,3.0,0.0,1.0,2.0,15000.0,1.0,1.0,40000.0,1.0,1.0,704000.0,7.0,21.0,360000.0,2.0,3.0,,,,,,,137300.0,4.0,11.0,40500.0,2.0,3.0,,,,,,,14750.0,1.0,4.0,5,10.0,03,0301,1,21.0,90,100,80,89.62809493114327,2,1,0
5,202103,c01094  ,2,40대,충남,N,0.0,20210323,9.0,,1763400.0,14,108.0,125957.14285714286,429500.0,8.0,27.0,182500.0,6.0,16.0,691000.0,7.0,15.0,437600.0,8.0,42.0,22800.0,4.0,8.0,99000.0,4.0,6.0,293400.0,4.0,15.0,37100.0,2.0,6.0,142500.0,6.0,15.0,40000.0,1.0,1.0,451000.0,6.0,13.0,240000.0,2.0,2.0,,,,,,,280000.0,6.0,10.0,71000.0,5.0,8.0,,,,19800.0,1.0,4.0,,,,5,10.0,04,0301,1,11.307692307692308,90,100,90,93.21697517861574,1,1,0
6,202103,c01142  ,2,40대,경기,N,0.0,20210323,9.0,,1100100.0,9,54.0,122233.33333333333,287000.0,5.0,11.0,118500.0,2.0,9.0,559000.0,5.0,19.0,132600.0,3.0,3.0,3000.0,2.0,12.0,18000.0,1.0,1.0,269000.0,3.0,7.0,0.0,2.0,3.0,118500.0,2.0,9.0,,,,439000.0,4.0,16.0,,,,75000.0,2.0,2.0,45000.0,1.0,1.0,,,,,,,,,,,,,,,,5,7.0,03,0301,1,20.125,90,100,80,89.62809493114327,2,1,0
7,202103,c01173  ,1,40대,서울,N,0.0,20210330,2.0,,1932000.0,15,220.0,128800.0,198000.0,6.0,8.0,229000.0,8.0,17.0,1142000.0,11.0,15.0,363000.0,5.0,172.0,0.0,2.0,8.0,33000.0,2.0,2.0,165000.0,4.0,6.0,,,,229000.0,8.0,17.0,,,,533000.0,8.0,11.0,520000.0,2.0,2.0,44000.0,1.0,1.0,45000.0,1.0,1.0,72000.0,2.0,2.0,50500.0,3.0,5.0,,,,,,,,,,5,9.0,03,0301,1,11.846153846153847,100,100,90,96.54893846056295,1,1,0
8,202103,c01264  ,1,40대,경남,N,1.0,20210316,16.0,,699000.0,7,21.0,99857.14285714286,210000.0,2.0,5.0,10000.0,1.0,1.0,479000.0,5.0,15.0,,,,,,,20000.0,1.0,1.0,190000.0,2.0,4.0,,,,10000.0,1.0,1.0,,,,479000.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,3,4.0,03,0301,1,28.0,80,100,70,82.42570599617112,2,1,0
9,202103,c01400  ,2,70세이상,서울,N,0.0,20210330,2.0,,3045800.0,22,158.0,138445.45454545456,363000.0,9.0,15.0,220000.0,3.0,20.0,2082000.0,15.0,60.0,371800.0,4.0,47.0,9000.0,5.0,16.0,,,,258000.0,5.0,7.0,105000.0,4.0,8.0,220000.0,3.0,20.0,,,,1799000.0,15.0,56.0,120000.0,1.0,1.0,163000.0,3.0,3.0,,,,144000.0,1.0,8.0,,,,,,,,,,,,,5,7.0,03,0301,1,8.4,100,100,100,99.99999999999997,1,1,0
